"PC1","PC2","PC3","PC4","PC5","PC6","physical","mental","temporal","performance","effort","frustration"
2.80314798742182,-0.267182934062632,0.765773173264664,-1.33625064106999,-0.781136582921262,0.0684214899656596,5,6,4,6,5,3
-0.889757253211948,1.01138529971215,0.358909923327696,0.719329222331622,-1.12488481139816,-0.976287852367685,2,2,4,2,4,1
2.34509364034777,-1.06075848069932,0.597131363285823,0.420534709279171,0.840833568397146,1.22090634766268,3,6,3,5,4,6
-0.266559099321518,-0.778529811981372,-0.0149832195390356,-1.1051182709721,0.346437325600014,-0.265589538628879,3,4,1,4,4,2
0.98796122503791,0.615573925198512,0.0521234241164732,-0.511812074444721,0.167307166459294,0.287769531642242,4,5,3,3,4,3
-2.2978486387792,0.0775958542949841,-0.728913244233934,0.611203855625278,0.393949081722643,-1.83164291973686,1,1,1,1,5,1
2.05815540786159,-0.172737513335633,-1.88504371965786,1.92424876736549,2.40477713881179,0.075339761415244,2,6,2,1,7,7
3.16757124792271,0.502291973855866,0.783981951581902,-1.2630077040331,0.0784424665345829,0.178702386316834,6,6,4,5,5,4
2.54267486492056,-1.47949265904549,-0.763640513560907,-1.05570530421198,1.45376516470787,0.315086379926979,4,7,1,5,6,5
-3.47419831645655,0.420407575459807,0.490326687807912,0.3305771179946,0.33532863416176,0.10564758070922,1,1,1,1,1,1
1.56573655978459,0.415891422831364,1.11585691751931,0.098709601434729,0.0569870336928666,0.0895724463835186,4,4,4,4,4,4
3.46165866734205,0.41658904356466,0.47917196857144,-1.19285101962543,0.0930975784248037,-0.305620238794686,6,6,4,5,6,4
2.98435936830071,-0.422435695503415,0.629840393532738,1.03076322436291,-0.426660947474453,-0.235422810116508,3,5,5,5,6,5
-1.52902298116489,0.373062514516239,0.32620089308078,0.109100707247888,0.142609704473439,0.480041305411506,2,3,2,2,2,2
0.506563803926006,1.63736475425142,-1.18125067183259,0.00147928216039994,-0.779652854825982,1.51707618314927,3,7,4,1,3,2
-0.464299285490996,-0.384223821677219,0.500313356242652,0.0487338536176243,-1.03853518574707,-1.53500530074737,2,2,3,4,5,1
1.59922257549089,-0.393044153811898,-1.94396924869922,0.0268279572861552,1.84754022358102,0.461526934857441,3,7,1,2,6,5
0.383265094320107,-0.0875021969587163,-0.810152347650837,-0.642710174051037,-0.0093859186883572,-0.317131131518188,3,5,2,3,5,2
-0.747828239221649,-0.245816061559265,-0.0227548191056028,-0.169243248952722,-0.141519026054064,0.354104889254028,2,4,2,3,3,2
1.03521419215026,0.996647854930335,0.635526163732005,-0.0354995868593458,-0.202139843540954,-0.0603195356140638,4,4,4,3,4,3
-0.681492919383804,1.46759499946781,0.521951113011688,-1.35370044177965,0.422169840351579,-1.28664254355687,5,2,2,2,4,1
3.09723540684116,-0.352885864353838,0.460963190254202,-1.26609395666232,-0.766481471031041,-0.41590113514586,5,6,4,6,6,3
-1.8376350694866,0.466482977564999,0.174360281415153,-0.229421883094378,-0.315362618979416,0.308783429557112,2,3,2,2,2,1
-2.34310498291479,0.578721440060355,-0.297070840737321,-0.142889807103715,0.467461741527467,-0.565588440062996,2,2,1,1,3,1
-2.66608277854219,0.704287623908679,-0.0600867460139958,-0.427390414479143,0.338213121548336,0.782808912970895,2,3,1,1,1,1
-2.13371911188269,-0.330013607640989,-0.53607487868653,-0.0217973923584289,-0.034083380674212,-0.124859357748924,1,3,1,2,3,1
3.91787535303604,0.352393262746168,0.478043936503179,-2.34946730592954,-0.460897307661821,-0.200834779055067,7,7,4,6,6,3
-1.52902298116489,0.373062514516239,0.32620089308078,0.109100707247888,0.142609704473439,0.480041305411506,2,3,2,2,2,2
-1.18584129560804,0.214888714506158,-0.351525236773987,0.926953713067571,-0.843605573092956,-1.40993063967372,1,2,3,2,5,1
-1.13245538965199,-0.982683353316007,0.399778437708601,-0.775838584433869,0.114365822035617,0.78539858495419,2,4,1,4,2,2
2.26753400360348,1.54115969277478,0.128129699406811,0.302235386367391,1.03012824505928,0.116648714290837,5,5,4,2,5,5
0.197951715604293,1.73078521730018,-1.33309128349822,-0.337043308181865,-1.23762517827884,1.34581830729488,3,7,4,1,3,1
0.683318977574989,-0.662744101242911,0.0587228369787117,0.437404557181978,-0.322467331238739,-0.432985343416881,2,4,3,4,5,3
-0.0836076578894221,0.926571099336635,-1.58687584892381,0.138947088488679,-0.513028728411,1.56775602095475,2,7,3,1,3,2
-2.10283211269788,0.512322654299085,0.546996152712751,-0.0852346445342892,-0.215424222780726,-0.0709686732537402,2,2,2,2,2,1
2.23776490397753,0.645194810283577,-0.23089783111873,1.68824181952812,-1.27368257256104,0.61413173857967,2,6,6,3,5,4
-2.04901756349545,0.493018509769149,-0.601880823747783,-0.0727331226960458,0.482116853417688,-1.04991106517452,2,2,1,1,4,1
0.522899091468626,0.662597155370356,-1.30079176829888,0.641424798434453,-1.28079626812488,-1.66975152208054,2,4,4,2,7,1
-0.820005379328365,-0.647449100318271,0.610545306026535,-0.443713335408582,-0.35501958416332,0.817061620508737,2,4,2,4,2,2
1.51848359267224,0.0348174930995413,0.532454177903777,-0.377602886150646,0.426434043693115,0.437661513639824,4,5,3,4,4,4
-2.67860718682271,0.282888545257547,-0.62758092608488,-0.101984597685666,0.035513445565692,1.24490388914178,1,4,1,1,1,1
